map,stage,waves,announce_waves,announce_seconds,spawn_entries,entry_delay_seconds,pattern_refs,pattern_delay_seconds,total_seconds,total_mmss
CountrySide,0,2,2,10.00,22,26.30,0,0.00,36.30,00:36.30
CountrySide,1,4,4,20.00,39,18.70,3,11.55,50.25,00:50.25
CountrySide,2,3,3,15.00,23,18.05,5,10.50,43.55,00:43.55
London,0,1,0,0.00,16,9.00,2,0.00,9.00,00:09.00
London,1,1,0,0.00,20,9.95,1,3.85,13.80,00:13.80
London,2,2,1,3.00,25,12.65,2,4.40,20.05,00:20.05
London,3,3,2,6.00,43,21.55,3,3.85,31.40,00:31.40
London,4,4,3,9.00,59,28.85,4,4.40,42.25,00:42.25
NewYork,0,1,0,0.00,16,9.00,2,0.00,9.00,00:09.00
NewYork,1,1,0,0.00,20,9.95,1,3.85,13.80,00:13.80
NewYork,2,2,1,3.00,25,12.55,2,4.40,19.95,00:19.95
NewYork,3,3,2,6.00,43,21.55,3,3.85,31.40,00:31.40
NewYork,4,4,3,9.00,61,29.05,4,4.40,42.45,00:42.45
NewYork,5,4,3,9.00,61,28.55,4,8.25,45.80,00:45.80
Paris,0,3,2,6.00,17,10.60,3,2.50,19.10,00:19.10
Paris,1,3,2,6.00,23,14.95,4,11.65,32.60,00:32.60
Paris,2,3,2,6.00,28,15.95,5,7.50,29.45,00:29.45
Paris,3,3,2,6.00,43,21.25,3,8.25,35.50,00:35.50
Paris,4,3,2,6.00,44,20.20,3,3.85,30.05,00:30.05
Paris,5,4,3,9.00,62,29.20,4,8.25,46.45,00:46.45
Skopje,0,3,2,6.00,36,38.60,13,23.40,68.00,01:08.00
Skopje,1,4,3,9.00,33,40.80,15,30.00,79.80,01:19.80
Skopje,2,4,3,9.00,32,30.65,11,30.95,70.60,01:10.60
Skopje,3,5,4,12.00,45,30.80,11,27.70,70.50,01:10.50
Skopje,4,5,4,12.00,50,31.10,10,16.45,59.55,00:59.55
Tokyo,0,1,0,0.00,20,12.30,3,1.60,13.90,00:13.90
Tokyo,1,1,0,0.00,22,11.45,1,3.85,15.30,00:15.30
Tokyo,2,2,1,3.00,29,13.75,2,4.40,21.15,00:21.15
Tokyo,3,3,2,6.00,45,22.55,3,3.85,32.40,00:32.40
Tokyo,4,5,4,12.00,70,33.15,11,18.90,64.05,01:04.05
